ï»¿#,Priority,Domain,Use Case,Headline,Stage,RAG,Financial - Target,Financial - Actual,Efficiency - Target,Efficiency - Actual,Risk & Regulatory - Target,Risk & Regulatory - Actual,Delivery Speed - Target,Delivery Speed - Actual,Owner
1,High,Agentic AI,Agentic AI - Rapid Deployment & Scaling,Builds and scales intelligent automated control systems across fraud and financial crime - faster and at lower cost than traditional development.,Pilot,Amber,20-30% reduction in development cost per use case deployed,In progress,50% reduction in time to stand up new agentic control,In progress,Production-grade security and governance embedded from day one eliminating costly rework,In progress,PoC to production in weeks not quarters,TM and Comms Surveillance pilots live,Sam Baker
2,High,ML Model Development,Fraud & Financial Crime Model Delivery,Accelerates the build and deployment of ML models that detect fraud and financial crime delivering measurable loss prevention uplift faster.,Production,Green,Quantifiable loss prevention uplift from faster model deployment; 30-50% reduction in model build cost,Tracking underway - baselining model delivery timelines,40% reduction in engineering time per model build,In progress,Consistent model documentation and governance artefacts across all builds reducing MRM remediation,In progress,Model build cycle reduced from approx 12 weeks to approx 7 weeks,In progress,Deep Gandecha
3,Medium,Transaction Monitoring,Innovation and Solution for TM Lifecycle,Improves the effectiveness and efficiency of transaction monitoring by reducing false positive alert volumes and improving coverage of genuine financial crime typologies.,PoC,Amber,Reduction in cost-per-alert through lower false positive rates,To be baselined,Analyst capacity released through alert noise reduction,To be baselined,Improved typology coverage reducing regulatory exposure,To be baselined,Faster deployment of TM improvements via standardised pipelines,To be baselined,Ronald Tee
4,Medium,MLOps - Infrastructure,Orchestration Control Plane - Apache Airflow,Standardises the creation of workflow pipelines across all model deployments reducing operational failures and accelerating onboarding of new workflows.,Production,Green,Reduction in operational failures and costly delivery drag from legacy pipelines,In progress,New workflow onboarding time reduced by 30%,In progress,Explicit auditable pipeline structure replacing ad-hoc scripts - reducing operational risk,In progress,Faster onboarding of new workflows via standardised templates,In progress,Sam Baker
5,High,MLOps - Infrastructure,Shared ML Functions Library (FunctionForge),Eliminates duplicated engineering effort across the model portfolio by creating a single reusable library of validated code - reducing defect risk and accelerating every future model build.,Production,Green,Estimated 25% reduction in per-model engineering cost through code reuse,In progress,New model onboarding time reduced by 30%,In progress,Single tested implementation eliminates class of defects caused by duplicated logic,In progress,Faster first-pass model build through shared scaffolding,In progress,Sam Baker
6,Good,MLOps - Infrastructure,CI Pipeline Onboarding & pytest Coverage,Automates the creation of test suites and CI pipelines across all model repos ensuring no code reaches production without test coverage.,Production,Green,Reduction in defect-related remediation cost across model portfolio,In progress,Test suite creation time reduced significantly - engineering toil freed for higher-value design,In progress,No-merge-without-tests policy enforced consistently reducing production defect risk,In progress,CI pipeline onboarding reduced from days to hours,In progress,Sam Baker
7,Medium,MLOps - Delivery,MLflow & Experiment Tracking,Produces consistent experiment templates improving reproducibility and auditability of model development across teams.,Production,Green,Reduction in rework caused by inconsistent experiment setups,In progress,Experiment setup time reduced; faster iteration across model builds,In progress,Improved reproducibility and governance of model experiments,In progress,Faster iteration with less rework across model development cycles,In progress,Sam Baker
8,Medium,MLOps - Delivery,Model Delivery Modernisation (PMML to ONNX),Accelerates migration of model formats to ONNX improving portability reliability and deployment speed across all model pipelines.,Pilot,Amber,Reduction in long-term maintenance cost once ONNX is standard across deployments,In progress,Conversion effort reduced significantly for complex model pipelines,In progress,Equivalence-checking artefacts ensure conversion does not introduce behavioural drift,In progress,Model deployment pace improved once ONNX standardisation is complete,In progress,Sam Baker
9,High,MLOps - Data Quality,Data Quality Automation,Automates the generation of data validation rules across all model pipelines catching data issues earlier and reducing the cost and risk of downstream model failures.,Production,Green,Reduction in cost of model remediation caused by upstream data defects,In progress,DQ rule generation time reduced by 60%,In progress,Earlier detection of data issues before they reach production models,In progress,DQ checks deployed in days rather than weeks,In progress,Sam Baker
10,Low,CDD Business Insights,Legacy Tooling Maintenance (C#/.NET),Provides an abstraction layer over a lightly-documented legacy codebase allowing senior engineers to understand and maintain it without specialist C# hiring.,Production,Green,Avoids cost of specialist contractor or niche skill hire for divest-state tool,In progress,Senior engineer time protected - abstraction layer reduces time needed to navigate legacy code,In progress,Reduced risk from poorly documented legacy systems and accumulated tech debt,In progress,Faster triage and maintenance of legacy issues,In progress,Geoff Davies
