metric,level,unit,formula,definition,meaning,caveats,requires
mrs_merged_in_window,project,count,"count(MR where state='merged' and merged_at in [since, until])",Number of merge requests merged during the reporting window.,Overall delivery throughput via merge requests.,Depends on accurate merged_at; ignores direct pushes to default branch.,MR API
merges_to_default_branch,project,count,count(merged MR where target_branch == default_branch and merged_at in window),Number of merged MRs targeting the project's default branch in the window.,How much change is integrated via the main branch.,"If default_branch differs across repos, compare with care.",MR API + project default_branch
merges_to_main_or_master,project,count,"count(merged MR where target_branch in {'main','master'} and merged_at in window)",Number of merged MRs targeting 'main' or 'master' in the window.,Fallback integration metric for common branch names.,Not meaningful for repos using other branch names.,MR API
lead_time_hours,MR,hours,(merged_at - created_at) in hours,Elapsed time from MR creation to merge.,End-to-end MR cycle time (speed of delivery).,Includes waiting time; can be skewed by weekends/holidays; use median for robustness.,"MR created_at, merged_at"
lead_time_hours_mean,project,hours,mean(lead_time_hours over merged MRs),Average MR lead time in the window.,Typical cycle time (mean).,Sensitive to outliers; median often better.,lead_time_hours
lead_time_hours_median,project,hours,median(lead_time_hours over merged MRs),Median MR lead time in the window.,Typical cycle time (robust).,Still depends on working patterns; consider business-hours adjustment if needed.,lead_time_hours
time_to_first_review_comment_hours,MR,hours,(first_non_author_non_system_note_time - created_at) in hours,"Time from MR creation to first non-author, non-system comment.",Responsiveness of code review (time to first engagement).,"If reviews happen via approvals only (no comments), this may be null; bots may affect if not filtered.",MR notes/notes API
time_to_first_review_comment_hours_mean,project,hours,mean(time_to_first_review_comment_hours over merged MRs with a value),Average time to first review comment in the window.,Typical review responsiveness (mean).,Sensitive to outliers and missing values.,time_to_first_review_comment_hours
time_to_first_review_comment_hours_median,project,hours,median(time_to_first_review_comment_hours over merged MRs with a value),Median time to first review comment in the window.,Typical review responsiveness (robust).,Excludes MRs with no qualifying comments.,time_to_first_review_comment_hours
time_from_last_update_to_merge_hours,MR,hours,(merged_at - updated_at) in hours,Time from MR last update to merge.,Proxy for how long it takes to land after final activity.,"updated_at changes for labels, comments, rebases; interpret cautiously.","MR updated_at, merged_at"
review_comment_count,MR,count,count(notes where system=false and note.author != MR.author),Number of non-system comments written by reviewers (non-author).,Proxy for review discussion volume.,Some teams review via approvals or offline; counts can be low even with good review.,MR notes
unique_reviewer_count,MR,count,count(distinct note.author where system=false and note.author != MR.author),Number of distinct reviewers who commented on the MR.,Breadth of participation and shared ownership.,Does not include silent reviewers; bots should be excluded if present.,MR notes
review_comment_count_mean,project,comments/MR,mean(review_comment_count over merged MRs),Average reviewer comment count per merged MR.,Typical review discussion intensity.,Can be skewed by a few large MRs.,review_comment_count
unique_reviewer_count_mean,project,reviewers/MR,mean(unique_reviewer_count over merged MRs),Average number of distinct commenting reviewers per MR.,Typical reviewer participation level.,Silence/approvals-only reviews reduce this.,unique_reviewer_count
changed_lines,MR,lines,additions + deletions (when available),Total lines changed in the MR (adds + deletes).,MR size; larger changes generally increase risk and review time.,Not always available depending on GitLab version/permissions.,"MR additions, deletions"
comments_per_100_changed_lines,MR,comments per 100 lines,review_comment_count / (changed_lines / 100) when changed_lines>0,Review comment density normalized by MR size.,More comparable review engagement across small vs large MRs.,"If changed_lines missing or zero, metric is null.",review_comment_count + changed_lines
comments_per_100_lines_mean,project,comments per 100 lines,mean(comments_per_100_changed_lines over merged MRs with changed_lines>0),Average size-normalized review comment density.,Typical review engagement adjusted for change size.,Sensitive to missing changed_lines.,comments_per_100_changed_lines
approvals_required,MR,count,approvals_required from approvals endpoint,Number of approvals required by MR approval rules at query time.,Strength of review gate.,Depends on edition/config; can vary with rules and approvals reset behavior.,Approvals API
approvals_left,MR,count,approvals_left from approvals endpoint,Number of additional approvals needed at query time.,Compliance status vs required approvals.,Often 0 for merged MRs; may be null if endpoint unavailable.,Approvals API
approvals_given,MR,count,len(approved_by) from approvals endpoint,Number of recorded approvers at query time.,Observed approval activity.,Approvals can be bypassed; treat as 'what GitLab recorded'.,Approvals API
additions,MR,lines,additions from MR object (when available),Lines added by the MR.,Change volume.,May be missing in some environments.,MR API
deletions,MR,lines,deletions from MR object (when available),Lines deleted by the MR.,Change volume.,May be missing in some environments.,MR API
changes_count,MR,count,changes_count from MR object (interpretation may vary),"GitLab-reported change count (often number of changed files, depending on version).",Breadth of change across files.,Field semantics can vary by GitLab version; verify in your instance.,MR API
commits_count,MR,count,commits_count from MR object (when available),Number of commits included in the MR.,Proxy for how changes are structured (many commits vs squashed).,May be null if not exposed.,MR API
