#,Category,Use Case Name,Use Case Description (How Claude Code Helps),Key Benefits,Owner,Remi's Assessment,Rationale
1,Agentic AI,Agentic AI Rapid Prototyping & Scaling,"Accelerates development and industrialisation of agentic AI use cases across group control. Claude Code stands up, iterates and scales agentic systems requiring sophisticated scaffolding — security, scalability and production requirements built in from onset. Embeds relevant context (policy/procedure docs) to generate compliant systems. Enables adaptability as agentic AI frameworks evolve rapidly.","- Faster time-to-value: rapid PoC identification and target benefits control
- Accelerated delivery of production-ready code
- Flexibility to remain at the cutting edge
- Operational efficiency: process automation frees analyst capacity for higher-value work",Sam Baker,Strong,Directly addresses the team's core mandate. Agentic AI is the highest-growth area and Claude Code removes the two biggest bottlenecks: development speed and production readiness. Proven via TM and Comms Surveillance pilots already delivering results.
2,ML Model Development,ML Model Performance & Delivery (Economic Crime),"Accelerates development and industrialisation of ML models for fraud and financial crime. Reduces time to deploy high-impact models. Enables broader experimentation across methodology, data sources and feature engineering. Supports end-to-end, production-ready ML pipelines with reproducibility, auditability, security and scalability built in. Ensures consistency of technical artefacts with non-technical MRM artefacts (model docs, monitoring, implementation testing).","- Direct financial impact: faster deployment of fraud models accelerates loss prevention
- Improved model performance from small incremental uplifts
- Increased innovation throughput: more PoCs without headcount
- Exploration of deprioritised opportunities
- Reduced rework and stronger governance outcomes",Deep Gandecha,Strong,"ML model development is the team's bread and butter. Even small performance uplifts yield material financial benefit given the fraud detection scale. Governance alignment through consistent artefacts is a strong differentiator. High-leverage, well-justified."
3,Innovation / TM,Innovation and Solution for TM Lifecycle,"Covers end-to-end TM lifecycle activities. Uses GenAI and ML to design targeted solutions for: reducing false positive alert noise, improving typology and risk coverage, enhancing process efficiency and automation. Enables faster testing, time-to-market deployment, simplified processes and standardised pipelines of development.","- Simplified process: more team members can work on projects
- Improved consistency, standardised framework
- Validation, reviews and audit readiness",Ronald Tee,Good,Solid focus area that addresses a real pain point (FP noise in TM). Benefits are clear but description is somewhat broad — would benefit from tighter scoping around specific TM lifecycle stages. Owner and licence ownership not yet confirmed.
4,MLOps – Infrastructure,Orchestration Control Plane – Apache Airflow,"Claude generates first-pass DAG scaffolds (task groups, dependencies, retries, SLAs) aligned to GCDA's Airflow configuration internally. Codifies GCDA templates for DAG-to-DAG triggers and modular composition. Reduces orchestration toil so engineers focus on correctness and operational constraints. Outputs treated as draft code with merges requiring human peer review, test evidence and adherence to standard best practices.","- Faster onboarding of new workflows via templates
- Improved reliability via standard patterns
- Higher auditability (explicit DAG structure over ad-hoc scripts)",Sam Baker,Good,Airflow is the default orchestrator across on-prem ElasticDP pods — standardisation impact is broad. Proven: Claude can write high-quality Python code. Leverage is high given every pipeline benefits. Solid but somewhat infrastructure-focused rather than directly crime-prevention linked.
5,MLOps – Infrastructure,Foundation Package for Shared Portfolio Functions (FunctionForge),"FunctionForge is the shared execution layer across GCQA model portfolios. Claude codifies common logic safely — generating first-pass implementations for shared preprocessing, filtering, training, calibration helpers and validation utilities. Refactors near-duplicate logic from multiple model codebases into single, parameterised implementations. All Claude-generated code treated as draft, reviewed, tested via standard CI and approved through existing peer process.","- Reduced duplication of logic across ML pipeline
- Faster onboarding of new models onto standard patterns
- Lower defect and regression risk via single, well-tested implementations
- Clear architectural separation between shared and bespoke code",Sam Baker,Strong,"One of the highest-leverage uses: FunctionForge code executes across multiple model portfolios, so quality and reuse improvements compound. Removes repeated engineering effort and systemic risk simultaneously. Well-scoped and production-safe framing."
6,MLOps – Infrastructure,CI Pipeline Onboarding & pytest Coverage,"Claude provides test scaffolding at scale by generating first-pass pytest suites and coverage harnesses for repetitive components (config validation, pipeline utilities). Helps draft and standardise CI steps for testing, linting and release in the central GitLab workspace. Enforces 'no merge without tests/coverage evidence'. Reduces engineering toil, leaving more time for parameterisation and meaningful design.","- Comprehensive test suites increasing code robustness in production
- Higher reproducibility and maintainability
- Lower support burden via standard patterns",Sam Baker,Good,Standard CI + tests reduce defect leakage and improve delivery throughput across every repo. Mitigates fragmentation risk. Proven: Claude writes high-quality Python with right prompting. Good value but derivative of FunctionForge — consider whether it should be a sub-item.
7,MLOps – Delivery,MLflow & Experiment Tracking,"Claude accelerates integration work and produces consistent experiment templates, improving reproducibility. Generates scaffolding for experiment tracking and promotes consistent metadata capture. Experiments remain human-owned.","- Faster iteration with less rework
- Improved reproducibility and governance
- Better cross-team comparability",Sam Baker,Good,Central experiment tracking reduces rework and supports auditability. Standardised templates accelerate onboarding. Value is solid but narrower than FunctionForge or CI pipeline use cases. Included in delivery modernisation theme.
8,MLOps – Delivery,Model Delivery Modernisation (PMML → ONNX),"Claude drafts conversion utilities and regression/parity test scaffolds, reducing manual effort significantly for format migration, particularly for complex model pipelines. Focuses on equivalence-checking artefacts (tests, validation scripts) so conversion doesn't introduce behavioural drift.","- Reduced deployment friction
- Improved portability/standardisation
- Lower long-term maintenance cost",Sam Baker,Good,"Format modernisation is high-leverage: once ONNX is standard, automation, portability, reliability and pace improve across all deployments. Proven: Claude writes high-quality Python. Benefit is clear, though timing depends on ONNX migration programme pace."
9,MLOps – Data Quality,DQ Improvements,"Claude accelerates and enhances generation of repeatable validation logic for DQ. Can produce dashboard scaffolding for DQR to increase observability. DQ rules remain SME-approved — Claude used as a boilerplate, not to autonomously define business logic thresholds.","- Earlier detection of data issues
- Reduced defects and rework
- Clear, auditable DQ reporting",Sam Baker,Strong,DQ is a cross-cutting concern upstream of every pipeline; reusable and enhanced DQ frameworks provide compounding returns for DE and ease of operation downstream. Smart governance framing (SME-approved rules) makes this safe and credible.
10,CDD Business Insights,Legacy Tooling Maintenance (C#/.NET),Claude Code helps understand codebases in a maintain-and-divest state where the team lacks C# skill expertise. Provides an abstraction layer between the lightly-documented codebase and senior engineers. Intent is to allow senior engineers to understand the legacy codebase rather than build or develop something new.,"- Reduced risk from poorly documented legacy systems and tech debt
- Allows team to avoid hiring specialist contractors",Geoff Davies,Moderate,"Legitimate use: avoiding niche skill investment for a divest-state tool is sensible. However, this is a maintenance/risk-mitigation play rather than value creation. Value ceiling is low and the problem should ideally be solved by decommissioning, not perpetuating."
11,CDD Business Insights,Data Warehouse Development (EDP – Snowflake/Databricks),"Claude Code assists as the team replatforms its transform layer from Hypercube to EDP. Builds the conformance layer, creates a DQ test suite via dbt-test models, translates legacy datasets, discovers breaking changes, creates data products documentation, and enables Data Products enablement. Estimated 30–50% reduction in manual engineering effort.","- Reduce manual engineering effort during development of new DW assets on EDP
- Reduce risk of data errors during replatforming
- Rapid, templated creation of new data quality layer
- Automated documentation",Geoff Davies,Strong,"High-value, well-scoped use case with a quantified effort-saving estimate (30–50%). Claude Code is genuinely well-suited to templated exercises like building dbt models and conformed view definitions. Data warehouse replatforming is engineering-heavy and the benefits are concrete."
12,Fraud & Mules,"Model Development (Retail, Credit, BB, PB, Mules)","Claude speeds up early stages of model development by drafting initial versions of feature engineering code, training pipelines, evaluation scripts and standard project structure. Reflects patterns already used across Fraud and Mules, allowing engineers to start from something concrete rather than from scratch. All modelling choices, assumptions and decisions remain with engineers and SMEs.","- Faster delivery of new and redeveloped models
- More consistent implementation across portfolios
- Fewer avoidable differences driven by individual coding style
- Easier comparison and review between models",Kate Smith,Strong,"Mirrors the ML Model Development use case for the Fraud & Mules portfolio specifically. Benefits are direct, measurable and proven. Consistency across portfolios (Retail, Credit, BB, PB) maximises leverage. Well-governed framing with human decision ownership."
13,Fraud & Mules,Model Refreshes,"Claude supports refresh work by drafting updated pipelines, refreshed sampling logic and comparison code to assess changes against previous behaviour. Using a consistent refresh approach lowers the risk of refresh-specific defects being introduced under delivery pressure, particularly where the intent is to maintain behaviour rather than materially change it.","- More predictable refresh outcomes
- Reduced likelihood of manual errors under time pressure
- Clearer understanding of what has and hasn't changed
- Less rework following refresh delivery",Kate Smith,Good,"Refreshes are frequent, deadline-driven and repetitive — exactly the use case where standardisation reduces risk. Consistent templating reduces inadvertent drift. Clear, well-justified with low governance risk."
14,Fraud & Mules,Fraud Investigations & Analytical Reviews,"Claude quickly drafts analysis code for investigations such as cohort breakdowns, trend analysis, drift checks and alert reviews. Standardises how common investigative questions are approached across cases. More consistent analysis patterns reduce the risk of different conclusions being reached simply due to differences in how analysis is set up.","- Faster and more consistent investigations
- Reduced variability in analytical approach
- Easier comparison across cases and time periods
- Better reuse of established investigative patterns",Kate Smith,Good,Investigations are urgent and repeated across teams. Standardising the analysis setup improves reliability while reducing time to insight. Well-justified and practical. Claude consistently produces sensible analytical scaffolding when guided by experienced fraud analysts.
15,Fraud & Mules,PoCs and Exploratory Work,Claude helps teams stand up PoCs quickly by drafting experimental pipelines and feature exploration code in clearly non-production environments. Encourages early testing and early failure where appropriate. Being able to discard weak ideas quickly reduces the risk of poorly-understood approaches progressing too far into delivery.,"- Quicker signal on whether ideas are viable
- Reduced risk of over-investing in weak approaches
- Clear separation between experimentation and production
- Better-informed prioritisation decisions",Kate Smith,Strong,"Rapid, low-cost experimentation improves decision-making on what should and should not progress. Claude is effective for early-stage exploration where speed matters most. Proven in adjacent areas. Strong value-for-licence proposition."
